时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-5-22 17:40:00,北京,17,多云,西南风2级,17,89%,10,225,0.0,1002,14,91,
2026-5-22 19:32:00,北京,17,多云,东南风1级,18,92%,5,135,0.0,1002,10,10,
2026-5-22 21:00:00,北京,17,雾,南风2级,17,93%,10,180,0.0,1002,6,10,
2026-5-22 22:48:00,北京,18,多云,南风2级,18,90%,8,180,0.0,1003,8,91,
2026-5-23 00:00:00,北京,18,多云,南风3级,17,84%,12,180,0.0,1003,12,100,
2026-5-23 04:24:00,北京,22,阴,西风4级,19,70%,28,270,0.0,1003,13,91,
2026-5-23 07:09:00,北京,24,阴,西风4级,22,66%,21,270,0.0,1002,16,91,
2026-5-23 09:48:00,北京,24,阴,南风3级,24,68%,14,180,0.0,1002,18,91,
2026-5-23 11:00:00,北京,24,阴,南风2级,25,73%,11,180,0.0,1002,5,91,
2026-5-23 13:08:00,北京,21,多云,东南风1级,23,91%,3,135,0.0,1003,10,93,
2026-5-23 14:48:00,北京,21,雾,东北风1级,23,95%,4,45,0.0,1003,7,10,
