时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-2-22 16:25:00,重庆,17,多云,南风1级,17,69%,2,192,0.0,977,7,91,
2026-2-22 17:17:00,重庆,16,雾,南风1级,16,73%,4,171,0.0,977,6,91,
2026-2-22 18:32:00,重庆,16,雾,西风1级,15,74%,3,269,0.0,976,7,91,
2026-2-22 19:18:00,重庆,16,雾,北风1级,16,75%,5,21,0.0,976,6,92,
2026-2-22 20:24:00,重庆,16,雾,西南风1级,16,74%,4,207,0.0,975,7,95,
2026-2-22 21:16:00,重庆,16,雾,西风1级,16,76%,3,290,0.0,974,6,98,
2026-2-22 22:17:00,重庆,16,雾,西北风1级,16,75%,5,292,0.0,974,6,98,
2026-2-22 23:24:00,重庆,16,雾,西北风1级,16,76%,4,333,0.0,974,6,98,
2026-2-23 02:01:00,重庆,18,雾,西北风1级,18,71%,2,316,0.0,976,6,91,
2026-2-23 04:48:00,重庆,24,阴,西风1级,24,51%,4,272,0.0,975,14,91,
2026-2-23 06:00:00,重庆,24,阴,西风1级,24,50%,5,276,0.0,975,16,91,
2026-2-23 07:49:00,重庆,23,阴,西风3级,20,52%,16,289,0.0,974,11,91,🟧 橙色降温提示：1小时降温4℃
2026-2-23 08:48:00,重庆,22,阴,西风2级,22,53%,7,275,0.0,974,9,91,
