时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-4-18 16:34:00,昆明,19,阴,西南风1级,18,52%,4,218,0.0,810,17,10,
2026-4-18 17:34:00,昆明,17,多云,西南风1级,16,63%,4,213,0.0,810,13,10,
2026-4-18 18:50:00,昆明,17,多云,西北风2级,16,61%,9,331,0.0,810,13,10,
2026-4-18 19:34:00,昆明,17,多云,西南风2级,16,62%,10,239,0.0,809,13,10,
2026-4-18 20:34:00,昆明,16,多云,南风1级,16,67%,3,188,0.0,809,12,10,
2026-4-18 21:34:00,昆明,15,多云,东南风1级,15,73%,5,146,0.0,809,10,10,
2026-4-18 22:34:00,昆明,15,晴,西南风1级,14,72%,2,206,0.0,809,9,10,
2026-4-18 23:28:00,昆明,14,雾,北风0级,13,78%,1,4,0.0,809,10,7,
2026-4-19 02:34:00,昆明,22,多云,西南风2级,18,43%,6,221,0.0,811,15,10,
2026-4-19 05:26:00,昆明,23,阴,西南风2级,19,37%,8,218,0.0,809,23,91,
2026-4-19 07:00:00,昆明,25,阴,西北风2级,21,37%,9,326,0.0,808,29,91,
2026-4-19 08:48:00,昆明,24,多云,南风3级,19,41%,18,186,0.0,806,19,91,
2026-4-19 09:40:00,昆明,22,多云,南风2级,23,51%,9,163,0.0,805,16,91,
2026-4-19 10:35:00,昆明,20,小雨,南风2级,20,56%,8,183,0.0,805,17,59,🟧 橙色降温提示：1小时降温3℃
2026-4-19 11:26:00,昆明,19,多云,西南风2级,16,61%,7,205,0.0,806,23,91,🟧 橙色降温提示：1小时降温4℃
2026-4-19 12:58:00,昆明,16,多云,南风1级,16,75%,2,191,0.0,806,17,91,
