时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-3 16:18:00,广州,7,晴,北风2级,5,92%,6,0,0.0,1016,23,0,
2026-1-3 17:10:00,广州,7,晴,北风2级,5,93%,8,0,0.0,1016,19,0,
2026-1-3 18:24:00,广州,7,晴,北风2级,5,93%,8,0,0.0,1016,17,0,
2026-1-3 19:08:00,广州,6,晴,北风2级,4,94%,9,0,0.0,1016,17,0,
2026-1-3 20:17:00,广州,6,晴,北风2级,4,94%,6,0,0.0,1015,16,0,
2026-1-3 21:10:00,广州,6,晴,北风2级,4,95%,7,0,0.0,1015,12,0,
2026-1-3 22:17:00,广州,6,晴,北风2级,4,95%,8,0,0.0,1015,10,0,
2026-1-3 23:16:00,广州,6,晴,北风2级,4,95%,7,0,0.0,1016,14,0,
2026-1-4 01:48:00,广州,12,晴,西北风1级,11,75%,4,315,0.0,1017,30,0,
2026-1-4 03:48:00,广州,17,晴,西北风2级,16,58%,6,315,0.0,1017,30,0,
