时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-6 16:30:00,北京,0,晴,南风2级,-4,68%,6,177,0.0,1027,6,0,
2026-3-6 17:32:00,北京,0,晴,南风1级,-4,73%,5,159,0.0,1028,5,0,
2026-3-6 18:40:00,北京,0,晴,南风2级,-4,77%,7,189,0.0,1028,4,0,
2026-3-6 19:25:00,北京,0,晴,东南风1级,-3,78%,5,143,0.0,1028,4,7,
2026-3-6 20:25:00,北京,-2,晴,东北风1级,-5,81%,5,65,0.0,1027,3,10,
2026-3-6 21:24:00,北京,-3,雾,东北风1级,-6,86%,5,29,0.0,1027,3,10,
2026-3-6 22:24:00,北京,-4,雾,东北风1级,-7,87%,2,30,0.0,1028,3,10,
2026-3-6 23:25:00,北京,-4,雾,东北风1级,-7,90%,4,24,0.0,1028,3,10,
2026-3-7 01:48:00,北京,2,晴,东风1级,-1,67%,2,93,0.0,1029,4,10,
2026-3-7 04:00:00,北京,5,霾,西南风2级,1,52%,10,207,0.0,1029,5,91,
2026-3-7 05:32:00,北京,7,霾,西南风2级,2,49%,10,215,0.0,1026,6,91,
2026-3-7 06:32:00,北京,7,霾,西南风3级,1,45%,15,214,0.0,1025,7,91,
2026-3-7 07:26:00,北京,7,霾,西南风2级,4,43%,8,228,0.0,1024,8,91,
2026-3-7 08:25:00,北京,7,霾,西南风3级,0,43%,18,238,0.0,1024,9,10,🟧 橙色降温提示：1小时降温4℃
2026-3-7 09:24:00,北京,6,霾,西南风3级,0,45%,17,206,0.0,1023,7,1,
2026-3-7 10:16:00,北京,6,霾,西南风2级,1,48%,8,227,0.0,1023,8,91,
2026-3-7 11:08:00,北京,6,霾,南风1级,4,48%,3,198,0.0,1023,8,91,
2026-3-7 12:40:00,北京,6,霾,南风2级,2,48%,7,171,0.0,1023,9,91,
2026-3-7 13:30:00,北京,6,霾,南风2级,2,47%,9,182,0.0,1023,10,91,
2026-3-7 14:08:00,北京,6,霾,南风1级,2,46%,2,166,0.0,1023,9,91,
