时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-31 16:48:00,北京,10,晴,南风1级,8,55%,5,165,0.0,1009,11,0,
2026-3-31 17:48:00,北京,9,晴,东北风1级,7,62%,5,28,0.0,1009,9,0,
2026-3-31 19:00:00,北京,13,晴,西风3级,7,35%,13,250,0.0,1009,20,0,
2026-3-31 20:32:00,北京,12,晴,北风2级,7,33%,10,5,0.0,1010,28,0,
2026-3-31 21:32:00,北京,12,晴,北风3级,6,29%,15,8,0.0,1010,30,0,
2026-3-31 22:26:00,北京,11,晴,北风2级,7,33%,9,20,0.0,1011,30,0,
2026-3-31 23:26:00,北京,11,晴,东北风3级,5,36%,13,27,0.0,1012,26,0,
2026-4-1 02:30:00,北京,14,晴,东北风2级,9,29%,11,27,0.0,1014,30,10,
2026-4-1 05:08:00,北京,17,多云,东南风2级,15,33%,6,119,0.0,1012,25,10,
2026-4-1 07:08:00,北京,18,晴,南风2级,15,31%,8,201,0.0,1010,15,91,
2026-4-1 09:00:00,北京,17,晴,南风3级,11,32%,12,188,0.0,1010,12,91,🟧 橙色降温提示：1小时降温4℃
2026-4-1 10:48:00,北京,13,多云,南风3级,10,34%,18,173,0.0,1010,17,91,
